#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC1032;People are unlovable.;L'humanité n'a rien de touchant.;Man kann die Menschen einfach nicht lieben.;;La humanidad es difícil de amar.;;;;;;;;;x
EVTOOLTIP38221;[Root.Guardian.GetFullName] saw [Root.GetFirstName] practise swordfighting;[Root.Guardian.GetFullName] a vu [Root.GetFirstName] s'entraîner à l'épée.;[Root.Guardian.GetFullName] sah [Root.GetFirstName] beim Schwertkampfüben.;;[Root.Guardian.GetFullName] vio a [Root.GetFirstName] practicando esgrima;;;;;;;;;x
EVTDESC1922;I am afraid of so many things, and every time I show my weaknesses others ridicule me for cowardness.;Tant de choses m'effraient ! Et chaque fois que j'affiche mes faiblesses, on se moque de moi en me traitant de lâche.;Mir machen so viele Dinge Angst. Jedes Mal, wenn ich anderen meine Schwächen offenbare, lachen sie mich als Feigling aus.;;Temo muchas cosas, y siempre que quedan patentes mis debilidades los demás se burlan de mi cobardía.;;;;;;;;;x
EVTOPTA1922;[Root.Guardian.GetFullName], please make them stop!;[Root.Guardian.GetFullName], je vous en prie, dites-leur d'arrêter !;[Root.Guardian.GetFullName], sie sollen aufhören;;¡Por favor, [Root.Guardian.GetFullName], haz que paren!;;;;;;;;;x
EVTOOLTIP38222;[Root.Guardian.GetFullName] is told about [Root.GetFirstName]'s trouble;[Root.Guardian.GetFullName] est informé(e) du problème de [Root.GetFirstName].;[Root.Guardian.GetFullName] erfährt von [Root.GetFirstName]s Problemen;;[Root.Guardian.GetFullName] es informado del problema de [Root.GetFirstName];;;;;;;;;x
EVTDESC1923;I sneaked through the dungeons, hearing the prisoners pleading for their life and the coarse laughter from the guards. A knife lay forgotten on the floor and I brought it with me, only to realize in the daylight why it had felt so sticky...;En me faufilant à travers les cachots, j'ai entendu les supplications des prisonniers et les rires gras des gardes. J'ai ramassé un couteau abandonné par terre. Mais ce n'est qu'à la lumière du jour que j'ai compris pourquoi il était si poisseux...;Ich schlich durch Kerker, hörte die Gefangenen um ihr Leben flehen, und das derbe Gelächter der Wachen. Auf dem Boden lag ein Messer und ich nahm es an mich. Erst bei Tageslicht bemerkte ich, warum es sich so klebrig angefühlt hatte ...;;Me colé en las mazmorras y oí a los prisioneros suplicando por su vida y la tosca risa de los guardias. Vi un cuchillo en el suelo y lo cogí, y a la luz del día me di cuenta de por qué era tan pegajoso...;;;;;;;;;x
EVTOPTA1923;Ew! Blood!;Oh ! Du sang !;Iieeh! Blut!;;¡Aj! ¡Sangre!;;;;;;;;;x
EVTOOLTIP38223;[Root.Guardian.GetFullName] saw [Root.GetFirstName] with the bloody knife;[Root.Guardian.GetFullName] a vu [Root.GetFirstName] en possession d'un couteau couvert de sang.;[Root.Guardian.GetFullName] sah [Root.GetFirstName] mit dem blutigen Messer.;;[Root.Guardian.GetFullName] vio a [Root.GetFirstName] con el cuchillo ensangrentado;;;;;;;;;x
EVTDESC1924;I curled up in my favorite chair with the biggest book I could find. When I heard [Root.Guardian.GetFullName] coming up the stairs I sprung from the chair but the book dragged me down and so [Root.Guardian.GetFullName] caught me.;Je me suis pelotonné(e) dans mon fauteuil préféré avec le plus gros livre que j'ai pu trouver. En entendant [Root.Guardian.GetFullName] monter les marches, j'ai bondi de mon fauteuil, mais le livre m'a entraîné(e) par terre et [Root.Guardian.GetFullName] m'a surpris(e).;Ich machte es mir mit dem größten Buch, das ich finden konnte, auf meinem Lieblingsstuhl gemütlich. Als ich [Root.Guardian.GetFullName] die Treppe herunterkommen hörte, sprang ich auf, doch das Buch war zu schwer: [Root.Guardian.GetFullName] ertappte mich.;;Me acomodé en mi silla favorita con el libro más grande que encontré. Cuando oí a [Root.Guardian.GetFullName] subiendo las escaleras salté de la silla, pero el libro me retrasó y [Root.Guardian.GetFullName] me pilló.;;;;;;;;;x
EVTOPTA1924;Let me go! I wanna read!;Laissez-moi ! Je veux lire !;Lasst mich gehen! Ich will lesen!;;¡Déjame! ¡Quiero leer!;;;;;;;;;x
EVTOOLTIP38224;[Root.Guardian.GetFullName] caught [Root.GetFirstName] reading instead of doing [Root.GetHerHis] chores;[Root.Guardian.GetFullName] a surpris [Root.GetFirstName] en train de lire au lieu d'effectuer ses corvées.;[Root.Guardian.GetFullName] ertappte [Root.GetFirstName] beim Lesen, anstatt [Root.GetHerHis] Hausarbeiten zu erledigen.;;[Root.Guardian.GetFullName] pilló a [Root.GetFirstName] leyendo en lugar de hacer sus tareas;;;;;;;;;x
EVTDESC1925;I know I am foul, I can never be as fair as some of the people in the court of [Root.Guardian.GetTitledFirstName]!;Je sais que je suis laid(e). Je n'aurai jamais la beauté de certains membres de la Cour de [Root.Guardian.GetTitledFirstName] !;Ich weiß, dass ich hässlich bin. Ich werde niemals so schön wie manche Leute am Hof von [Root.Guardian.GetTitledFirstName] sein!;;¡Sé que soy fea y nunca seré tan bella como algunas personas de la corte de [Root.Guardian.GetTitledFirstName]!;;;;;;;;;x
EVTOPTA1925;Why am I not beautiful?;Pourquoi ne suis-je pas beau(belle) ?;Warum bin ich nicht hübsch?;;¿Por qué no soy bella?;;;;;;;;;x
EVTOOLTIP38225;[Root.Guardian.GetFullName] comforts [Root.GetFirstName];[Root.Guardian.GetFullName] console [Root.GetFirstName].;[Root.Guardian.GetFullName] tröstet [Root.GetFirstName];;[Root.Guardian.GetFullName] conforta a [Root.GetFirstName];;;;;;;;;x
EVTDESC1926;I always get compliments for my fair skin, my silken hair and my big eyes. They tell me I am beautiful and I should be proud of my looks.;On me complimente toujours pour ma belle peau, mes cheveux soyeux et mes grands yeux. On me dit que je suis superbe et que je devrais en éprouver de la fierté.;Ich bekomme immer Komplimente wegen meiner reinen Haut, meinem seidigen Haar und meiner großen Augen. Sie sagen mir, dass ich schön sei und auf meine Locken stolz sein sollte.;;Siempre me hacen cumplidos por mi bella piel, mi sedoso pelo y mis grandes ojos. Me dicen que soy bella y que debería estar orgullosa de mi aspecto.;;;;;;;;;x
EVTOPTA1926;I am the fairest to ever walk Middle-Earth!;Je suis le(la) plus beau(belle) !;Ich bin am allerschönsten von allen!;;¡Soy la más hermosa!;;;;;;;;;x
EVTOOLTIP38226;[Root.Guardian.GetFullName] worries about [Root.GetFirstName];[Root.Guardian.GetFullName] s'inquiète pour [Root.GetFirstName].;[Root.Guardian.GetFullName] macht sich um [Root.GetFirstName] Sorgen;;[Root.Guardian.GetFullName] se preocupa de [Root.GetFirstName];;;;;;;;;x
EVTDESC1927;It was market day and I had persuaded [Root.Guardian.GetFullName] to let me have some money for sweetmeats. I found what I wanted but haggled all I could until the merchant gave up, laughed and handed me the sweetmeats for a lot less than what he wanted for them.;C'était jour de marché et j'avais réussi à convaincre [Root.Guardian.GetFullName] de me donner un peu d'argent pour m'acheter des bonbons. J'ai trouvé ce que je voulais mais j'ai marchandé le plus possible jusqu'à ce que le marchand cède, éclate de rire et me vende les bonbons à un prix bien inférieur à ce qu'il réclamait.;Es war Markttag und ich hatte [Root.Guardian.GetFullName] überzeugt, mir etwas Geld für Zuckerwerk zu geben. Ich fand, was ich suchte. Dann aber feilschte ich so lange, bis der Händler resignierte und mir das Zuckerwerk für viel weniger Geld gab, als er eigentlich dafür verlangt hatte.;;Era día de mercado y convencí a [Root.Guardian.GetFullName] de que me dejase llevar dinero para dulces. Hallé lo que buscaba pero regateé todo lo que pude hasta que el mercader cedió, rió y me dio los dulces por mucho menos de lo que él pedía.;;;;;;;;;x
EVTOPTA1927;It was a sweet deal;Parfaite négociation !;Ein süßes Geschäft;;Fue un dulce trato;;;;;;;;;x
EVTOOLTIP38227;[Root.Guardian.GetFullName] saw [Root.GetFirstName] haggle with the merchant;[Root.Guardian.GetFullName] a vu [Root.GetFirstName] marchander.;[Root.Guardian.GetFullName] sah [Root.GetFirstName] mit dem Händler feilschen;;[Root.Guardian.GetFullName] vio a [Root.GetFirstName] regateando con el mercader;;;;;;;;;x
EVTOPTA1928;[Root.Guardian.GetFullName], may I talk to the visitors?;[Root.Guardian.GetFullName], puis-je aller parler aux visiteurs ?;[Root.Guardian.GetFullName], darf ich mit den Besuchern sprechen?;;[Root.Guardian.GetFullName], ¿puedo hablar con los visitantes?;;;;;;;;;x
EVTDESC1929;Every chance I get I practice swordfighting, often with the old warriors who find it amusing to see me charging at them with all my might. They are too seasoned for me to defeat, but practise makes perfect and one day I will be the best.;Je profite de la moindre occasion qui m'est donnée pour m'entraîner à manier l'épée, souvent avec des hommes plus âgés qui trouvent amusant de me voir les charger de toutes mes forces. Ils sont trop aguerris pour que je puisse les battre, mais l'entraînement me permet de me perfectionner et un jour, je serai le(la) meilleur(e).;Wann immer ich die Gelegenheit bekomme, übe ich den Schwertkampf. Oftmals gegen ältere Männer, die es amüsiert, wenn ich sie mit aller Kraft attackiere. Sie sind zu gut für mich, um sie zu schlagen, aber Übung macht den Meister! Eines Tages werde ich über sie triumphieren.;;Siempre que puedo practico la esgrima, a menudo con hombres mayores a quienes divierte verme atacándoles con todas mis fuerzas. Son demasiado expertos para vencerles, pero la práctica logra la perfección y algún día seré el mejor.;;;;;;;;;x
EVTOPTA1929;Isn't that right, [Root.Guardian.GetFullName]?;N'est-ce pas, [Root.Guardian.GetFullName] ?;Das stimmt doch, [Root.Guardian.GetFullName], oder?;;¿Verdad, [Root.Guardian.GetFullName]?;;;;;;;;;x
EVTOOLTIP38229;[Root.Guardian.GetFullName] approves of [Root.GetFirstName]'s swordfighting;[Root.Guardian.GetFullName] approuve [Root.GetFirstName].;[Root.Guardian.GetFullName] gestattet [Root.GetFirstName]s Schwertkampffähigkeiten;;[Root.Guardian.GetFullName] aprueba la esgrima de [Root.GetFirstName];;;;;;;;;x
EVTDESC1930;I got my first kiss today! It was not quite what I had expected but rather nice anyway. Too bad [Root.Guardian.GetFullName] blundered in on us, spoiling the moment.;J'ai reçu mon premier baiser aujourd'hui ! Ce n'est pas tout à fait ce à quoi je m'attendais, mais c'était agréable. Dommage que [Root.Guardian.GetFullName] nous soit tombés dessus, ça a tout gâché.;Heute habe ich meinen ersten Kuss bekommen! Das hatte ich mir anders vorgestellt, aber es war trotzdem schön. Leider hat uns [Root.Guardian.GetFullName] ertappt und den Augenblick ruiniert.;;¡Hoy me han besado por primera vez! No fue tan bueno como esperaba, pero de todos modos fue agradable. Por desgracia [Root.Guardian.GetFullName] nos interrumpió y estropeó el momento.;;;;;;;;;x
EVTOPTA1930;You ruined everything!;Vous avez tout gâché !;Ihr habt alles ruiniert!;;¡Lo echaste todo a perder!;;;;;;;;;x
EVTOOLTIP38230;[Root.Guardian.GetFullName] realizes [Root.GetFirstName] is growing up.;[Root.Guardian.GetFullName] réalise que [Root.GetFirstName] devient un(e) [Root.GetManWoman].;[Root.Guardian.GetFullName] bemerkt, dass [Root.GetFirstName] als [Root.GetManWoman] reifer wird;;[Root.Guardian.GetFullName] constata que [Root.GetFirstName] está creciendo;;;;;;;;;x
EVTDESC1931;The kitchen is warm and filled with delicious smells and even more delicious foodstuff. If I could, I would spend all my days here.;Ah, la cuisine, sa douce chaleur, ses délicieuses odeurs et ses mets succulents ! Si je pouvais, j'y passerais toutes mes journées !;Die Küche ist warm und voller köstlicher Gerüche ... und noch besserem Essen. Wenn ich könnte, würde ich meine ganze Zeit hier verbringen.;;La cocina está caliente y llena de deliciosos aromas y comida aún más deliciosa. Si pudiera pasaría todo el tiempo aquí.;;;;;;;;;x
EVTOPTA1931;I wanna become a cook!;Je veux devenir cuisinier(ière) !;Ich möchte Kochen zum Beruf machen.;;¡Quiero ser cocinero!;;;;;;;;;x
EVTOOLTIP38231;[Root.Guardian.GetFullName] finds [Root.GetFirstName] in the kitchen;[Root.Guardian.GetFullName] trouve [Root.GetFirstName] dans la cuisine.;[Root.Guardian.GetFullName] findet [Root.GetFirstName] in der Küche;;[Root.Guardian.GetFullName] halla a [Root.GetFirstName] en la cocina;;;;;;;;;x
EVTDESC1932;The biggest tower in [Root.Location.GetName] is staggeringly high, but I had decided to climb all the way up, on the outside. I saw [Root.Guardian.GetFullName] in the room at the top and shouted a greeting.;La plus grande tour de [Root.Location.GetName] est très haute, mais j'avais décidé de l'escalader jusqu'au sommet, par l'extérieur. En voyant [Root.Guardian.GetFullName] dans la pièce du haut, je l'ai salué(e).;Der höchste Turm in [Root.Location.GetName] ist atemberaubend hoch, aber ich MUSSTE ihn einfach an seiner Außenmauer bis nach oben erklimmen. Vom obersten Zimmer aus sah ich [Root.Guardian.GetFullName] und rief ihm einen Gruß zu.;;La torre más alta de [Root.Location.GetName] es imponente, pero decidí escalarla por la parte exterior. Vi a [Root.Guardian.GetFullName] en la cima y le saludé.;;;;;;;;;x
EVTOPTA1932;[Root.Guardian.GetSheHeCap] didn't look too happy;[Root.Guardian.GetSheHeCap] n'avait pas l'air très content(e).;[Root.Guardian.GetSheHeCap] sah nicht allzu glücklich aus;;[Root.Guardian.GetSheHeCap] no parecía muy feliz;;;;;;;;;x
EVTOOLTIP38232;[Root.Guardian.GetFullName] deals with [Root.GetFirstName]'s curiosity;[Root.Guardian.GetFullName] s'occupe de la curiosité de [Root.GetFirstName].;[Root.Guardian.GetFullName] geht mit [Root.GetFirstName]s Neugier um;;[Root.Guardian.GetFullName] se ocupa de la curiosidad de [Root.GetFirstName];;;;;;;;;x
EVTDESC1933;I don't feel too good, I am feverish and my head hurts! Can't [Root.Guardian.GetFullName] do something to rid me of this illness?;Je ne me sens pas très bien. J'ai de la fièvre et j'ai mal à la tête ! [Root.Guardian.GetFullName] ne peut rien faire pour me guérir ?;Es geht mir nicht gut. Ich habe Fieber und mein Kopf tut weh! Ob mich [Root.Guardian.GetFullName] nicht von dieser Krankheit befreien kann?;;¡No me siento bien, tengo fiebre y me duele la cabeza! ¿Puede [Root.Guardian.GetFullName] hacer algo para curarme?;;;;;;;;;x
EVTOPTA1933;Please, help me!;Je vous en prie, aidez-moi !;Bitte, helft mir!;;¡Por favor, ayúdame!;;;;;;;;;x
EVTOOLTIP38233;[Root.Guardian.GetFullName] is troubled by [Root.GetFirstName]'s illness;[Root.Guardian.GetFullName] s'inquiète de voir [Root.GetFirstName] malade.;[Root.Guardian.GetFullName] ist wegen [Root.GetFirstName]s Krankheit beunruhigt;;[Root.Guardian.GetFullName] está preocupado por la enfermedad de [Root.GetFirstName];;;;;;;;;x
EVTDESC1934;I have feelings for a [Root.GetManWoman] at court, I feel happy and almost in love everytime I see [Root.GetHerHim]. I try to accept this but will others accept me?;J'ai des sentiments pour un(e) [Root.GetManWoman] de la Cour. Je me sens heureux(euse) et presque amoureux(euse) chaque fois que je le(la) vois. J'essaie de l'accepter, mais la réciproque est-elle vraie ?;Ich hege Gefühle für eine Person am Hof. Jedes Mal, wenn ich [Root.GetHerHim] sehe, fühle ich mich glücklich, fast wie verliebt. Ich versuche, dies zu akzeptieren, aber werden andere auch mich akzeptieren?;;Tengo sentimientos por una persona de la corte, me siento feliz y casi enamorado cuando la veo. Trato de aceptarlo, pero ¿me aceptarán los demás?;;;;;;;;;x
EVTOPTA1934;Do you accept me for who I am, [Root.Guardian.GetFullName]?;M'acceptez-vous tel(telle) que je suis, [Root.Guardian.GetFullName] ?;[Root.Guardian.GetFullName], akzeptiert Ihr mich so, wie ich bin?;;¿Me aceptas por quien yo soy, [Root.Guardian.GetFullName]?;;;;;;;;;x
EVTOOLTIP38234;[Root.Guardian.GetFullName] realizes [Root.GetFirstName] is drawn to a [Root.GetManWoman];[Root.Guardian.GetFullName] se rend compte que [Root.GetFirstName] est attiré(e) par un(e) [Root.GetManWoman].;[Root.Guardian.GetFullName] wird klar, welchem Geschlecht die Zuneigung von [Root.GetFirstName] gilt.;;[Root.Guardian.GetFullName] constata que [Root.GetFirstName] siente atracción por una persona;;;;;;;;;x
EVTDESC1935;I have never had any problems making friends, to get someone to like me I can twist and turn the truth until it fits.;Je n'ai jamais eu aucun mal à me faire des amis. Pour me faire apprécier, il me suffit de manipuler mon entourage.;Ich hatte noch nie Probleme, Freundschaften zu schließen. Damit mich jemand mag, kann ich die Wahrheit so lange drehen und wenden, bis sie zutrifft.;;Nunca me ha costado hacer amigos, para gustar a alguien retuerzo la verdad hasta que encaje.;;;;;;;;;x
